ticker,KOSDAQ INDEX
field,PX_LAST
date,
2021-09-17,1046.12
2021-09-23,1036.26
2021-09-24,1037.03
2021-09-27,1034.82
2021-09-28,1012.51
2021-09-29,1001.46
2021-09-30,1003.27
2021-10-01,983.2
2021-10-05,955.37
2021-10-06,922.36
2021-10-07,953.43
2021-10-08,953.11
2021-10-12,940.15
2021-10-13,953.47
2021-10-14,983.43
2021-10-15,990.54
2021-10-18,993.86
2021-10-19,1005.35
2021-10-20,1001.62
2021-10-21,993.7
2021-10-22,995.07
2021-10-25,994.31
2021-10-26,1011.76
2021-10-27,1008.95
2021-10-28,1000.13
2021-10-29,992.33
2021-11-01,998.57
2021-11-02,1009.44
2021-11-03,1005.0
2021-11-04,1001.43
2021-11-05,1001.35
2021-11-08,1002.5
2021-11-09,1008.68
2021-11-10,987.75
2021-11-11,992.65
2021-11-12,1009.07
2021-11-15,1029.03
2021-11-16,1035.46
2021-11-17,1031.26
2021-11-18,1032.77
2021-11-19,1041.92
2021-11-22,1032.31
2021-11-23,1013.72
2021-11-24,1020.13
2021-11-25,1015.66
2021-11-26,1005.89
2021-11-29,992.34
2021-11-30,965.63
2021-12-01,977.15
2021-12-02,977.43
2021-12-03,998.47
2021-12-06,991.87
2021-12-07,996.64
2021-12-08,1006.04
2021-12-09,1022.87
2021-12-10,1011.57
2021-12-13,1005.96
2021-12-14,1002.81
2021-12-15,1003.52
2021-12-16,1007.86
2021-12-17,1001.26
2021-12-20,990.51
2021-12-21,996.6
2021-12-22,1000.13
2021-12-23,1003.31
2021-12-24,1007.42
2021-12-27,1011.36
2021-12-28,1027.44
2021-12-29,1028.05
2021-12-30,1033.98
2022-01-03,1037.83
2022-01-04,1031.66
2022-01-05,1009.62
2022-01-06,980.3
2022-01-07,995.16
2022-01-10,980.38
2022-01-11,969.92
2022-01-12,991.33
2022-01-13,983.25
2022-01-14,971.39
2022-01-17,957.9
2022-01-18,943.94
2022-01-19,933.9
2022-01-20,958.7
2022-01-21,942.85
2022-01-24,915.4
2022-01-25,889.44
2022-01-26,882.09
2022-01-27,849.23
2022-01-28,872.87
2022-02-03,891.6
2022-02-04,902.87
2022-02-07,899.4
2022-02-08,895.27
2022-02-09,910.53
2022-02-10,895.68
2022-02-11,877.42
2022-02-14,852.79
2022-02-15,839.92
2022-02-16,878.15
2022-02-17,874.22
2022-02-18,881.71
2022-02-21,884.25
2022-02-22,868.11
2022-02-23,877.33
2022-02-24,848.21
2022-02-25,872.98
2022-02-28,881.07
2022-03-02,895.45
2022-03-03,912.32
2022-03-04,900.96
2022-03-07,881.54
2022-03-08,870.14
2022-03-10,889.08
2022-03-11,891.71
2022-03-14,872.44
2022-03-15,871.22
2022-03-16,891.8
2022-03-17,914.13
2022-03-18,922.96
2022-03-21,918.4
2022-03-22,924.67
2022-03-23,930.57
2022-03-24,931.75
2022-03-25,934.69
2022-03-28,927.11
2022-03-29,937.83
2022-03-30,939.07
2022-03-31,944.53
2022-04-01,940.57
2022-04-04,947.32
2022-04-05,952.47
2022-04-06,943.13
2022-04-07,927.95
2022-04-08,934.73
2022-04-11,921.83
2022-04-12,913.82
2022-04-13,927.31
2022-04-14,928.01
2022-04-15,924.44
2022-04-18,918.23
2022-04-19,931.56
2022-04-20,928.93
2022-04-21,929.68
2022-04-22,922.78
2022-04-25,899.84
2022-04-26,911.16
2022-04-27,896.18
2022-04-28,892.22
2022-04-29,904.75
2022-05-02,901.82
2022-05-03,907.57
2022-05-04,900.06
2022-05-06,884.22
2022-05-09,860.84
2022-05-10,856.14
2022-05-11,866.34
2022-05-12,833.66
2022-05-13,853.08
2022-05-16,856.25
2022-05-17,865.98
2022-05-18,871.57
2022-05-19,863.8
2022-05-20,879.88
2022-05-23,883.59
2022-05-24,865.07
2022-05-25,872.69
2022-05-26,871.43
2022-05-27,873.97
2022-05-30,886.44
2022-05-31,893.36
2022-06-02,891.14
2022-06-03,891.51
2022-06-07,873.78
2022-06-08,874.95
2022-06-09,877.18
2022-06-10,869.86
2022-06-13,828.77
2022-06-14,823.58
2022-06-15,799.41
2022-06-16,802.15
2022-06-17,798.69
2022-06-20,769.92
2022-06-21,778.3
2022-06-22,746.96
2022-06-23,714.38
2022-06-24,750.3
2022-06-27,770.6
2022-06-28,769.51
2022-06-29,762.35
2022-06-30,745.44
2022-07-01,729.48
2022-07-04,722.73
2022-07-05,750.95
2022-07-06,744.63
2022-07-07,757.97
2022-07-08,766.48
2022-07-11,767.04
2022-07-12,750.78
2022-07-13,763.18
2022-07-14,766.08
2022-07-15,762.39
2022-07-18,776.72
2022-07-19,782.33
2022-07-20,790.72
2022-07-21,795.15
2022-07-22,789.75
2022-07-25,789.69
2022-07-26,789.93
2022-07-27,795.7
2022-07-28,798.32
2022-07-29,803.62
2022-08-01,807.61
2022-08-02,804.34
2022-08-03,815.36
2022-08-04,825.16
2022-08-05,831.64
2022-08-08,830.86
2022-08-09,833.65
2022-08-10,820.27
2022-08-11,832.15
2022-08-12,831.63
2022-08-16,834.74
2022-08-17,827.42
2022-08-18,826.06
2022-08-19,814.17
2022-08-22,795.87
2022-08-23,783.42
2022-08-24,793.14
2022-08-25,807.37
2022-08-26,802.45
2022-08-29,779.89
2022-08-30,797.02
2022-08-31,807.04
2022-09-01,788.32
2022-09-02,785.88
2022-09-05,771.43
2022-09-06,779.46
2022-09-07,768.19
2022-09-08,777.81
2022-09-13,796.79
2022-09-14,782.93
2022-09-15,781.38
2022-09-16,770.04
2022-09-19,751.91
2022-09-20,760.35
2022-09-21,754.89
2022-09-22,751.41
2022-09-23,729.36
2022-09-26,692.37
2022-09-27,698.11
2022-09-28,673.87
2022-09-29,675.07
2022-09-30,672.65
2022-10-04,696.79
2022-10-05,685.34
2022-10-06,706.01
2022-10-07,698.49
2022-10-11,669.5
2022-10-12,671.67
2022-10-13,651.59
2022-10-14,678.24
2022-10-17,682.0
2022-10-18,697.09
2022-10-19,690.56
2022-10-20,680.44
2022-10-21,674.48
2022-10-24,688.5
2022-10-25,688.85
2022-10-26,683.17
2022-10-27,695.09
2022-10-28,687.63
2022-10-31,695.33
2022-11-01,700.05
2022-11-02,697.37
2022-11-03,694.13
2022-11-04,693.89
2022-11-07,700.48
2022-11-08,713.33
2022-11-09,714.6
2022-11-10,707.78
2022-11-11,731.22
2022-11-14,729.54
2022-11-15,744.96
2022-11-16,743.1
2022-11-17,737.54
2022-11-18,731.92
2022-11-21,718.57
2022-11-22,712.26
2022-11-23,725.59
2022-11-24,738.22
2022-11-25,733.56
2022-11-28,717.9
2022-11-29,727.54
2022-11-30,729.54
2022-12-01,740.6
2022-12-02,732.95
2022-12-05,733.32
2022-12-06,719.44
2022-12-07,718.14
2022-12-08,712.52
2022-12-09,719.49
2022-12-12,715.22
2022-12-13,715.16
2022-12-14,729.0
2022-12-15,722.68
2022-12-16,717.41
2022-12-19,717.22
2022-12-20,703.13
2022-12-21,705.7
2022-12-22,715.02
2022-12-23,691.25
2022-12-26,694.68
2022-12-27,704.19
2022-12-28,692.37
2022-12-29,679.29
2023-01-02,671.51
2023-01-03,674.95
2023-01-04,683.67
2023-01-05,679.92
2023-01-06,688.94
2023-01-09,701.21
2023-01-10,696.05
2023-01-11,709.77
2023-01-12,710.82
2023-01-13,711.82
2023-01-16,716.89
2023-01-17,709.71
2023-01-18,711.75
2023-01-19,712.89
2023-01-20,717.97
2023-01-25,732.35
2023-01-26,738.94
2023-01-27,741.25
2023-01-30,738.62
2023-01-31,740.49
2023-02-01,750.96
2023-02-02,764.62
2023-02-03,766.79
2023-02-06,761.33
2023-02-07,772.79
2023-02-08,779.98
2023-02-09,784.58
2023-02-10,772.44
2023-02-13,772.55
2023-02-14,779.58
2023-02-15,765.46
2023-02-16,784.71
2023-02-17,775.62
2023-02-20,788.89
2023-02-21,793.42
2023-02-22,778.51
2023-02-23,783.28
2023-02-24,778.88
2023-02-27,780.3
2023-02-28,791.6
2023-03-02,787.19
2023-03-03,802.42
2023-03-06,816.51
2023-03-07,815.76
2023-03-08,813.95
2023-03-09,809.22
2023-03-10,788.6
2023-03-13,788.89
2023-03-14,758.05
2023-03-15,781.17
2023-03-16,781.98
2023-03-17,797.39
2023-03-20,802.2
2023-03-21,802.53
2023-03-22,813.43
2023-03-23,812.19
2023-03-24,824.11
2023-03-27,827.69
2023-03-28,833.51
2023-03-29,843.94
2023-03-30,850.48
2023-03-31,847.52
2023-04-03,854.96
2023-04-04,857.18
2023-04-05,872.36
2023-04-06,865.58
2023-04-07,880.07
2023-04-10,887.78
2023-04-11,898.94
2023-04-12,890.62
2023-04-13,894.25
2023-04-14,903.84
2023-04-17,909.5
2023-04-18,909.02
2023-04-19,909.2
2023-04-20,885.71
2023-04-21,868.82
2023-04-24,855.23
2023-04-25,838.71
2023-04-26,830.44
2023-04-27,850.21
2023-04-28,842.83
2023-05-02,855.61
2023-05-03,843.18
2023-05-04,845.06
2023-05-08,842.28
2023-05-09,835.85
2023-05-10,829.74
2023-05-11,824.54
2023-05-12,822.43
2023-05-15,814.53
2023-05-16,816.75
2023-05-17,834.19
2023-05-18,835.89
2023-05-19,841.72
2023-05-22,852.04
2023-05-23,859.16
2023-05-24,855.46
2023-05-25,847.72
2023-05-26,843.23
2023-05-30,851.5
2023-05-31,856.94
2023-06-01,863.78
2023-06-02,868.06
2023-06-05,870.28
2023-06-07,880.72
2023-06-08,876.13
2023-06-09,883.71
2023-06-12,885.76
2023-06-13,896.81
2023-06-14,871.83
2023-06-15,878.04
2023-06-16,887.95
2023-06-19,888.61
2023-06-20,886.41
2023-06-21,875.7
2023-06-22,876.38
2023-06-23,874.84
2023-06-26,879.5
2023-06-27,874.14
2023-06-28,866.97
2023-06-29,861.79
2023-06-30,868.24
2023-07-03,889.29
2023-07-04,890.0
2023-07-05,891.18
2023-07-06,870.53
2023-07-07,867.27
2023-07-10,860.35
2023-07-11,878.73
2023-07-12,879.88
2023-07-13,893.07
2023-07-14,896.28
2023-07-17,898.29
2023-07-18,914.14
2023-07-19,923.72
2023-07-20,931.6
2023-07-21,934.58
2023-07-24,929.9
2023-07-25,939.96
2023-07-26,900.63
2023-07-27,883.79
2023-07-28,913.74
2023-07-31,935.97
2023-08-01,939.67
2023-08-02,909.76
2023-08-03,920.32
2023-08-04,918.43
2023-08-07,898.22
2023-08-08,892.34
2023-08-09,908.98
2023-08-10,911.29
2023-08-11,912.2
2023-08-14,901.68
2023-08-16,878.29
2023-08-17,886.04
2023-08-18,877.32
2023-08-21,888.71
2023-08-22,893.33
2023-08-23,882.87
2023-08-24,901.74
2023-08-25,899.38
2023-08-28,909.38
2023-08-29,916.24
2023-08-30,923.81
2023-08-31,928.4
2023-09-01,919.74
2023-09-04,919.16
2023-09-05,921.48
2023-09-06,917.95
2023-09-07,906.36
2023-09-08,914.18
2023-09-11,912.55
2023-09-12,898.04
2023-09-13,882.72
2023-09-14,899.47
2023-09-15,899.03
2023-09-18,891.29
2023-09-19,883.89
2023-09-20,882.72
2023-09-21,860.68
2023-09-22,857.35
2023-09-25,839.17
2023-09-26,827.82
2023-09-27,841.02
2023-10-04,807.4
2023-10-05,801.02
2023-10-06,816.39
2023-10-10,795.0
2023-10-11,817.12
2023-10-12,835.49
2023-10-13,822.78
2023-10-16,810.54
2023-10-17,820.38
2023-10-18,808.89
2023-10-19,784.04
2023-10-20,769.25
2023-10-23,763.69
2023-10-24,784.86
2023-10-25,770.84
2023-10-26,743.85
2023-10-27,748.49
2023-10-30,757.12
2023-10-31,736.1
2023-11-01,739.23
2023-11-02,772.84
2023-11-03,782.05
2023-11-06,839.45
2023-11-07,824.37
2023-11-08,811.02
2023-11-09,802.87
2023-11-10,789.31
2023-11-13,774.42
2023-11-14,794.19
2023-11-15,809.36
2023-11-16,811.11
2023-11-17,799.06
2023-11-20,813.08
2023-11-21,817.01
2023-11-22,814.61
2023-11-23,815.98
2023-11-24,817.17
