ticker,RAY INDEX
field,PX_LAST
date,
2021-09-03,2694.202
2021-09-07,2682.741
2021-09-08,2675.982
2021-09-09,2665.685
2021-09-10,2644.674
2021-09-13,2650.478
2021-09-14,2633.516
2021-09-15,2656.021
2021-09-16,2653.975
2021-09-17,2633.473
2021-09-20,2586.927
2021-09-21,2586.453
2021-09-22,2612.342
2021-09-23,2644.605
2021-09-24,2645.877
2021-09-27,2641.502
2021-09-28,2586.1
2021-09-29,2587.99
2021-09-30,2559.721
2021-10-01,2589.832
2021-10-04,2555.06
2021-10-05,2580.476
2021-10-06,2589.857
2021-10-07,2614.305
2021-10-08,2607.1
2021-10-11,2589.517
2021-10-12,2587.945
2021-10-13,2598.642
2021-10-14,2641.956
2021-10-15,2658.142
2021-10-18,2667.503
2021-10-19,2685.917
2021-10-20,2696.317
2021-10-21,2705.77
2021-10-22,2701.859
2021-10-25,2715.417
2021-10-26,2716.717
2021-10-27,2696.609
2021-10-28,2725.941
2021-10-29,2730.655
2021-11-01,2742.743
2021-11-02,2750.629
2021-11-03,2770.927
2021-11-04,2779.794
2021-11-05,2790.564
2021-11-08,2794.621
2021-11-09,2785.551
2021-11-10,2758.111
2021-11-11,2761.928
2021-11-12,2781.443
2021-11-15,2780.291
2021-11-16,2791.555
2021-11-17,2780.269
2021-11-18,2785.054
2021-11-19,2777.6
2021-11-22,2764.514
2021-11-23,2765.86
2021-11-24,2773.75
2021-11-26,2709.73
2021-11-29,2739.792
2021-11-30,2685.544
2021-12-01,2646.45
2021-12-02,2688.847
2021-12-03,2660.037
2021-12-06,2692.503
2021-12-07,2750.226
2021-12-08,2762.086
2021-12-09,2735.659
2021-12-10,2755.392
2021-12-13,2729.223
2021-12-14,2707.535
2021-12-15,2751.193
2021-12-16,2722.794
2021-12-17,2703.697
2021-12-20,2670.685
2021-12-21,2724.052
2021-12-22,2750.51
2021-12-23,2768.358
2021-12-27,2803.742
2021-12-28,2798.353
2021-12-29,2801.873
2021-12-30,2795.908
2021-12-31,2788.137
2022-01-03,2804.932
2022-01-04,2800.409
2022-01-05,2739.341
2022-01-06,2739.197
2022-01-07,2725.604
2022-01-10,2721.621
2022-01-11,2748.587
2022-01-12,2752.644
2022-01-13,2712.908
2022-01-14,2714.174
2022-01-18,2660.807
2022-01-19,2633.86
2022-01-20,2603.064
2022-01-21,2552.536
2022-01-24,2565.95
2022-01-25,2531.383
2022-01-26,2523.635
2022-01-27,2505.657
2022-01-28,2566.786
2022-01-31,2621.974
2022-02-01,2642.227
2022-02-02,2659.229
2022-02-03,2594.101
2022-02-04,2610.658
2022-02-07,2603.571
2022-02-08,2627.814
2022-02-09,2669.324
2022-02-10,2622.478
2022-02-11,2573.776
2022-02-14,2563.383
2022-02-15,2608.321
2022-02-16,2609.222
2022-02-17,2550.967
2022-02-18,2530.71
2022-02-22,2503.706
2022-02-23,2456.301
2022-02-24,2498.947
2022-02-25,2555.475
2022-02-28,2552.418
2022-03-01,2512.323
2022-03-02,2560.019
2022-03-03,2541.0
2022-03-04,2516.071
2022-03-07,2439.178
2022-03-08,2425.592
2022-03-09,2490.252
2022-03-10,2479.654
2022-03-11,2445.106
2022-03-14,2422.014
2022-03-15,2472.118
2022-03-16,2532.655
2022-03-17,2566.46
2022-03-18,2598.198
2022-03-21,2593.904
2022-03-22,2624.634
2022-03-23,2590.902
2022-03-24,2626.909
2022-03-25,2637.369
2022-03-28,2655.491
2022-03-29,2694.038
2022-03-30,2672.437
2022-03-31,2631.725
2022-04-01,2643.196
2022-04-04,2663.932
2022-04-05,2625.733
2022-04-06,2597.381
2022-04-07,2605.675
2022-04-08,2597.177
2022-04-11,2557.438
2022-04-12,2549.861
2022-04-13,2582.265
2022-04-14,2550.907
2022-04-18,2546.658
2022-04-19,2590.986
2022-04-20,2588.65
2022-04-21,2545.99
2022-04-22,2476.497
2022-04-25,2492.334
2022-04-26,2420.326
2022-04-27,2423.662
2022-04-28,2482.034
2022-04-29,2393.628
2022-05-02,2409.349
2022-05-03,2420.624
2022-05-04,2491.454
2022-05-05,2399.504
2022-05-06,2380.574
2022-05-09,2298.443
2022-05-10,2303.276
2022-05-11,2262.158
2022-05-12,2264.055
2022-05-13,2323.046
2022-05-16,2311.071
2022-05-17,2360.224
2022-05-18,2265.715
2022-05-19,2256.386
2022-05-20,2256.399
2022-05-23,2295.47
2022-05-24,2272.255
2022-05-25,2298.063
2022-05-26,2345.228
2022-05-27,2404.304
2022-05-31,2386.317
2022-06-01,2368.502
2022-06-02,2415.688
2022-06-03,2377.328
2022-06-06,2384.947
2022-06-07,2409.864
2022-06-08,2383.238
2022-06-09,2326.375
2022-06-10,2257.759
2022-06-13,2165.726
2022-06-14,2157.813
2022-06-15,2190.036
2022-06-16,2113.702
2022-06-17,2122.234
2022-06-21,2171.401
2022-06-22,2168.859
2022-06-23,2192.02
2022-06-24,2260.776
2022-06-27,2254.608
2022-06-28,2208.98
2022-06-29,2204.106
2022-06-30,2183.431
2022-07-01,2208.263
2022-07-05,2215.353
2022-07-06,2218.994
2022-07-07,2255.725
2022-07-08,2253.128
2022-07-11,2224.28
2022-07-12,2204.841
2022-07-13,2195.69
2022-07-14,2185.44
2022-07-15,2228.344
2022-07-18,2212.204
2022-07-19,2274.874
2022-07-20,2293.034
2022-07-21,2314.645
2022-07-22,2290.172
2022-07-25,2293.512
2022-07-26,2265.957
2022-07-27,2325.264
2022-07-28,2354.28
2022-07-29,2386.009
2022-08-01,2380.515
2022-08-02,2367.456
2022-08-03,2405.451
2022-08-04,2403.567
2022-08-05,2403.212
2022-08-08,2404.006
2022-08-09,2389.462
2022-08-10,2444.816
2022-08-11,2443.083
2022-08-12,2485.796
2022-08-15,2494.896
2022-08-16,2499.111
2022-08-17,2476.875
2022-08-18,2483.109
2022-08-19,2447.318
2022-08-22,2394.909
2022-08-23,2390.78
2022-08-24,2399.99
