date,price
2022-05-25,795.34
2022-05-26,791.57
2022-05-27,799.38
2022-05-30,809.53
2022-05-31,814.54
2022-06-02,805.15
2022-06-03,807.38
2022-06-07,792.01
2022-06-08,793.52
2022-06-09,794.92
2022-06-10,783.48
2022-06-13,758.02
2022-06-14,754.92
2022-06-15,741.4
2022-06-16,743.53
2022-06-17,737.38
2022-06-20,724.33
2022-06-21,727.82
2022-06-22,710.3
2022-06-23,703.55
2022-06-24,719.1
2022-06-27,729.11
2022-06-28,735.94
2022-06-29,720.2
2022-06-30,706.72
2022-07-01,698.7
2022-07-04,699.6
2022-07-05,711.44
2022-07-06,697.18
2022-07-07,711.4
2022-07-08,716.7
2022-07-11,712.74
2022-07-12,705.37
2022-07-13,708.73
2022-07-14,706.6
2022-07-15,714.05
2022-07-18,730.2
2022-07-19,727.4
2022-07-20,732.09
2022-07-21,741.2
2022-07-22,735.24
2022-07-25,737.11
2022-07-26,740.1
2022-07-27,740.77
2022-07-28,745.86
2022-07-29,748.12
2022-08-01,747.21
2022-08-02,744.88
2022-08-03,749.73
2022-08-04,753.21
2022-08-05,758.14
2022-08-08,756.49
2022-08-09,758.24
2022-08-10,748.91
2022-08-11,760.63
2022-08-12,762.31
2022-08-16,765.63
2022-08-17,761.17
2022-08-18,759.49
2022-08-19,754.44
2022-08-22,744.57
2022-08-23,734.63
2022-08-24,736.5
2022-08-25,745.55
2022-08-26,745.89
2022-08-29,728.63
2022-08-30,736.28
2022-08-31,744.58
2022-09-01,726.75
2022-09-02,721.59
2022-09-05,719.58
2022-09-06,720.47
2022-09-07,710.15
2022-09-08,712.68
2022-09-13,735.64
2022-09-14,721.51
2022-09-15,715.62
2022-09-16,711.18
2022-09-19,707.19
2022-09-20,708.55
2022-09-21,701.23
2022-09-22,694.53
2022-09-23,686.21
2022-09-26,667.5
2022-09-27,668.47
2022-09-28,652.78
2022-09-29,652.2
2022-09-30,649.07
2022-10-04,666.3
2022-10-05,670.09
2022-10-06,675.15
2022-10-07,674.42
2022-10-11,663.09
2022-10-12,668.17
2022-10-13,659.46
2022-10-14,674.39
2022-10-17,675.45
2022-10-18,683.66
2022-10-19,678.79
2022-10-20,672.38
2022-10-21,672.98
2022-10-24,680.13
2022-10-25,680.98
2022-10-26,687.11
2022-10-27,698.14
2022-10-28,688.25
2022-10-31,700.21
2022-11-01,709.85
2022-11-02,708.81
2022-11-03,703.15
2022-11-04,708.21
2022-11-07,717.32
2022-11-08,727.54
2022-11-09,734.76
2022-11-10,724.46
2022-11-11,751.59
2022-11-14,747.64
2022-11-15,749.26
2022-11-16,748.21
2022-11-17,735.13
2022-11-18,736.42
2022-11-21,729.94
2022-11-22,723.55
2022-11-23,728.55
2022-11-24,736.48
2022-11-25,733.27
2022-11-28,724.32
2022-11-29,731.83
2022-11-30,745.29
2022-12-01,747.07
2022-12-02,730.42
2022-12-05,726.13
2022-12-06,717.58
2022-12-07,713.17
2022-12-08,712.37
2022-12-09,719.85
2022-12-12,715.35
2022-12-13,714.43
2022-12-14,723.65
2022-12-15,711.16
2022-12-16,710.87
2022-12-19,709.04
2022-12-20,702.87
2022-12-21,700.07
2022-12-22,710.23
2022-12-23,697.15
2022-12-26,697.31
2022-12-27,701.46
2022-12-28,684.21
2022-12-29,670.54
2023-01-02,669.77
2023-01-03,669.21
2023-01-04,684.93
2023-01-05,689.83
2023-01-06,698.78
2023-01-09,717.16
2023-01-10,716.66
2023-01-11,718.53
2023-01-12,719.34
2023-01-13,726.2
2023-01-16,731.13
2023-01-17,725.52
2023-01-18,721.11
2023-01-19,725.76
2023-01-20,729.89
2023-01-25,743.53
2023-01-26,755.75
2023-01-27,761.4
2023-01-30,749.26
2023-01-31,733.96
2023-02-01,745.25
2023-02-02,752.33
2023-02-03,756.67
2023-02-06,739.34
2023-02-07,743.91
2023-02-08,756.48
2023-02-09,755.57
2023-02-10,752.86
2023-02-13,748.68
2023-02-14,753.15
2023-02-15,741.0
2023-02-16,755.77
2023-02-17,747.12
2023-02-20,749.57
2023-02-21,749.38
2023-02-22,735.7
2023-02-23,743.18
2023-02-24,737.46
2023-02-27,730.78
2023-02-28,733.03
2023-03-02,735.75
2023-03-03,736.88
2023-03-06,749.85
2023-03-07,746.74
2023-03-08,737.26
2023-03-09,732.92
2023-03-10,725.78
2023-03-13,732.51
2023-03-14,714.51
2023-03-15,722.93
2023-03-16,722.12
2023-03-17,730.91
2023-03-20,723.81
2023-03-21,725.07
2023-03-22,735.38
2023-03-23,740.65
2023-03-24,737.29
2023-03-27,733.85
2023-03-28,740.9
2023-03-29,742.52
2023-03-30,744.5
2023-03-31,754.53
2023-04-03,751.21
2023-04-04,753.07
2023-04-05,758.61
2023-04-06,745.32
2023-04-07,759.55
2023-04-10,769.37
2023-04-11,779.63
2023-04-12,781.9
2023-04-13,783.31
2023-04-14,784.45
2023-04-17,785.3
2023-04-18,784.91
2023-04-19,784.9
2023-04-20,781.56
2023-04-21,777.47
2023-04-24,771.8
2023-04-25,760.44
2023-04-26,759.64
2023-04-27,764.88
2023-04-28,768.53
2023-05-02,773.55
2023-05-03,766.24
2023-05-04,765.13
2023-05-08,771.43
2023-05-09,769.73
2023-05-10,764.16
2023-05-11,761.01
2023-05-12,757.7
2023-05-15,759.28
2023-05-16,762.75
2023-05-17,766.96
2023-05-18,774.19
2023-05-19,785.01
2023-05-22,789.71
2023-05-23,792.09
2023-05-24,790.6
2023-05-25,788.22
2023-05-26,793.94
2023-05-30,804.77
2023-05-31,798.64
2023-06-01,797.02
2023-06-02,808.68
2023-06-05,810.73
2023-06-07,809.58
2023-06-08,807.99
2023-06-09,818.77
2023-06-12,813.59
2023-06-13,818.62
2023-06-14,812.49
2023-06-15,809.82
2023-06-16,814.57
2023-06-19,808.23
2023-06-20,805.93
2023-06-21,798.55
2023-06-22,802.83
2023-06-23,797.85
2023-06-26,802.98
2023-06-27,801.63
2023-06-28,796.42
2023-06-29,792.82
2023-06-30,795.32
2023-07-03,808.32
2023-07-04,805.83
2023-07-05,800.37
2023-07-06,793.69
2023-07-07,782.7
2023-07-10,780.24
2023-07-11,794.54
2023-07-12,799.77
2023-07-13,803.79
2023-07-14,817.83
2023-07-17,815.26
2023-07-18,811.88
2023-07-19,813.59
2023-07-20,809.94
2023-07-21,812.13
2023-07-24,818.57
2023-07-25,821.34
2023-07-26,811.83
2023-07-27,817.33
2023-07-28,816.89
2023-07-31,819.29
2023-08-01,830.54
2023-08-02,812.65
2023-08-03,807.87
2023-08-04,805.15
2023-08-07,799.15
2023-08-08,794.99
2023-08-09,804.66
2023-08-10,800.83
2023-08-11,796.2
2023-08-14,789.31
2023-08-16,777.45
2023-08-17,776.67
2023-08-18,771.94
2023-08-21,773.47
2023-08-22,775.91
2023-08-23,773.85
2023-08-24,786.24
2023-08-25,778.07
2023-08-28,782.47
2023-08-29,784.2
2023-08-30,786.37
2023-08-31,784.99
2023-09-01,793.56
2023-09-04,798.89
2023-09-05,797.24
2023-09-06,790.8
2023-09-07,787.58
2023-09-08,786.06
2023-09-11,787.14
2023-09-12,781.93
2023-09-13,782.84
2023-09-14,794.32
2023-09-15,802.87
2023-09-18,792.24
2023-09-19,787.57
2023-09-20,788.46
2023-09-21,775.81
2023-09-22,773.18
2023-09-25,769.65
2023-09-26,759.35
2023-09-27,758.87
2023-10-04,740.93
2023-10-05,739.79
2023-10-06,740.28
2023-10-10,739.75
2023-10-11,754.83
2023-10-12,765.4
2023-10-13,757.92
2023-10-16,751.78
2023-10-17,761.56
2023-10-18,764.31
2023-10-19,750.33
2023-10-20,739.21
2023-10-23,733.24
2023-10-24,741.06
2023-10-25,733.47
2023-10-26,712.34
2023-10-27,714.44
2023-10-30,715.62
2023-10-31,706.1
2023-11-01,715.25
2023-11-02,730.7
2023-11-03,737.84
2023-11-06,779.51
2023-11-07,763.22
2023-11-08,751.91
2023-11-09,753.52
2023-11-10,749.18
2023-11-13,747.26
2023-11-14,756.8
2023-11-15,774.16
2023-11-16,774.83
2023-11-17,768.41
2023-11-20,774.38
2023-11-21,779.01
2023-11-22,778.43
2023-11-23,778.97
2023-11-24,771.45
2023-11-27,769.43
2023-11-28,779.2
2023-11-29,779.72
2023-11-30,783.96
2023-12-01,774.91
2023-12-04,778.87
2023-12-05,769.71
2023-12-06,769.97
2023-12-07,767.86
2023-12-08,779.34
2023-12-11,782.63
2023-12-12,787.23
